2021-01-04T11:08:36-05:00	HaltingHacienda	37295	8.317
2021-01-10T04:28:54-05:00	OptimalRape	37873	7.155
2021-01-22T06:36:46-05:00	DirtyInk	48441	5.816
2021-01-31T15:55:11-05:00	LowCelebration	31616	0.8
2021-02-07T20:36:34-05:00	ConfusedExploration	40137	0.24
2021-02-20T08:58:32-05:00	ResoluteCart	38921	2.171
2021-02-23T10:31:34-05:00	HaltingHacienda	23086	0.523
2021-02-24T09:49:07-05:00	MaliciousBow	16109	8.133
2021-02-27T16:46:59-05:00	LowCelebration	29008	5.176
2021-03-03T19:01:15-05:00	ClammyFallacy	17196	0.152
2021-03-09T14:30:28-05:00	SilentTexture	24093	4.963
2021-03-13T17:57:40-05:00	InnocentOverexertion	39385	8.186
2021-03-14T18:37:49-04:00	FurtiveVaccine	30602	4.326
2021-03-16T01:31:16-04:00	ClammyFallacy	24008	3.219
2021-03-23T14:31:08-04:00	DirtyInk	15059	2.432
2021-03-26T18:54:25-04:00	HaltingHacienda	27350	1.035
2021-03-29T14:26:21-04:00	HaltingHacienda	35329	3.792
2021-03-31T22:04:24-04:00	DirtyInk	48621	8.736
2021-04-06T04:22:32-04:00	InnocentOverexertion	44583	4.4030000000000005
2021-04-13T04:02:34-04:00	OptimalRape	44437	7.181
2021-04-13T09:57:13-04:00	InnocentOverexertion	22240	3.6109999999999998
2021-05-02T06:32:21-04:00	ShinyPub	44134	8.874
2021-05-04T15:50:55-04:00	ClammyFallacy	41715	3.7039999999999997
2021-06-01T04:43:29-04:00	MaliciousBow	37194	3.517
2021-06-02T10:02:11-04:00	InnocentOverexertion	19181	3.5540000000000003
2021-06-05T08:41:30-04:00	DirtyInk	44859	8.978
2021-06-07T11:02:09-04:00	SteadfastParallelogram	38088	9.479
2021-06-09T18:16:04-04:00	DirtyInk	14578	1.097
2021-06-12T10:37:39-04:00	HaltingHacienda	19742	3.719
2021-06-15T22:04:31-04:00	LowCelebration	49173	0.54
2021-06-18T08:53:05-04:00	ConfusedExploration	37380	8.399000000000001
2021-07-01T03:06:17-04:00	LowCelebration	38697	3.859
2021-07-01T05:35:33-04:00	MindlessPeer	33055	7.874
2021-07-04T02:12:44-04:00	SteadfastParallelogram	39384	1.296
2021-07-17T17:38:11-04:00	MindlessPeer	47681	4.751
2021-08-03T08:30:07-04:00	ResoluteCart	33673	6.351
2021-08-21T13:00:06-04:00	ResoluteCart	39414	4.8870000000000005
2021-08-28T03:13:50-04:00	InnocentOverexertion	17711	6.622
2021-09-03T11:14:24-04:00	InnocentHandicap	47105	8.459
2021-09-13T10:11:36-04:00	ResoluteCart	40023	9.14
2021-09-26T06:32:11-04:00	ConfusedExploration	30318	9.264
2021-10-04T12:25:23-04:00	LowCelebration	32675	3.059
2021-10-25T23:30:31-04:00	DirtyInk	39585	3.321
2021-10-26T23:16:23-04:00	ShinyPub	49442	6.671
2021-11-06T21:38:03-04:00	DirtyInk	32489	4.958
2021-11-09T06:07:16-05:00	SilentTexture	33965	4.343
2021-11-23T11:41:19-05:00	SilentTexture	21505	6.499
2021-12-07T00:32:07-05:00	LowCelebration	27638	3.331
2021-12-15T12:53:43-05:00	ShinyPub	17273	9.892
2021-12-16T13:00:08-05:00	MaliciousBow	36219	2.447
2022-01-06T04:37:30-05:00	ResoluteCart	30609	2.385
2022-01-11T21:47:59-05:00	ShinyPub	17686	9.171
2022-01-15T22:01:32-05:00	OptimalRape	31928	3.989
2022-01-19T21:36:26-05:00	LowCelebration	15690	3.785
2022-01-27T01:45:41-05:00	FurtiveVaccine	25214	7.592
2022-02-09T14:14:54-05:00	ShinyPub	30786	0.624
2022-02-14T02:12:44-05:00	ClammyFallacy	19305	8.132
2022-02-16T04:44:21-05:00	SteadfastParallelogram	19156	3.46
2022-02-17T23:56:13-05:00	MaliciousBow	30521	9.921
2022-03-14T13:15:08-04:00	MaliciousBow	46538	6.081
2022-03-27T17:46:46-04:00	SilentTexture	31573	8.539
2022-04-04T19:46:36-04:00	LowCelebration	46386	3.638
2022-05-02T07:55:26-04:00	OptimalRape	45624	3.421
2022-05-06T14:51:43-04:00	HaltingHacienda	35178	4.435
2022-06-04T22:30:08-04:00	FurtiveVaccine	19597	4.162
2022-07-14T20:51:43-04:00	DirtyInk	26320	5.774
2022-07-22T16:52:43-04:00	HaltingHacienda	42203	7.293
